"","nj","nyc","app_date_d","pre","post","storeid","chain_id","center","crimbox","crime","drugcrime","propertycrime","ged","empgap","white","black","remover","noncomplier_store","balanced","response","response_date_d","daystoresponse","interview","cogroup_comb","cogroup_njnyc","post_cogroup_njnyc","white_cogroup_njnyc","ged_cogroup_njnyc","empgap_cogroup_njnyc","box_white","pre_white","post_white","white_nj","post_remover_ged","post_ged","remover_ged","post_remover_empgap","post_empgap","remover_empgap","post_remover_white","post_remover","remover_white","raerror","retail","num_stores","avg_salesvolume","avg_num_employees","retail_white","retail_post","retail_post_white","percblack","percwhite","tot_crime_rate","nocrimbox","nocrime_box","nocrime_pre","response_white","response_black","response_ged","response_hsd","response_empgap","response_noempgap"
"1772",1,0,2015-05-07,0,1,566,74,122,0,0,0,0,0,0,0,1,1,0,1,0,NA,NA,0,74,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,501,4841.37724550898,15.9161676646707,0,1,0,0,0.813953459262848,4.66104173660278,1,0,0,NA,0,NA,0,NA,0
"1773",1,0,2015-02-14,1,0,566,74,122,1,0,0,0,0,1,1,0,1,0,1,0,NA,NA,0,74,23,0,23,0,23,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,501,4841.37724550898,15.9161676646707,1,0,0,0,0.813953459262848,4.66104173660278,0,1,1,0,NA,NA,0,0,NA
"1774",1,0,2015-05-15,0,1,566,74,122,0,1,0,1,1,1,1,0,1,0,1,0,NA,NA,0,74,23,23,23,23,23,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,501,4841.37724550898,15.9161676646707,1,1,1,0,0.813953459262848,4.66104173660278,1,0,0,0,NA,0,NA,0,NA
"1775",1,0,2015-02-20,1,0,566,74,122,1,1,0,1,1,0,0,1,1,0,1,0,NA,NA,0,74,23,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,501,4841.37724550898,15.9161676646707,0,0,0,0,0.813953459262848,4.66104173660278,0,0,0,NA,0,0,NA,NA,0
"1776",1,0,2015-02-08,1,0,567,76,122,0,0,0,0,1,1,0,1,0,0,1,0,NA,NA,0,90006,128,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0.888888895511627,8.02310657501221,1,0,1,NA,0,0,NA,0,NA
"1777",1,0,2015-02-14,1,0,567,76,122,0,1,1,0,0,0,1,0,0,0,1,0,NA,NA,0,90006,128,0,128,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0.888888895511627,8.02310657501221,1,0,0,0,NA,NA,0,NA,0
"1778",1,0,2015-05-15,0,1,567,76,122,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,0,90006,128,128,128,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0.888888895511627,8.02310657501221,1,0,0,0,NA,NA,0,NA,0
"1779",1,0,2015-05-07,0,1,567,76,122,0,1,0,1,1,1,0,1,0,0,1,0,NA,NA,0,90006,128,128,0,128,128,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0.888888895511627,8.02310657501221,1,0,0,NA,0,0,NA,0,NA
"1780",1,0,2015-02-08,1,0,568,76,122,0,0,0,0,1,1,0,1,0,0,0,0,NA,NA,0,90006,128,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0.0230303034186363,0.623636364936829,9.24353122711182,1,0,1,NA,0,0,NA,0,NA
"1781",1,0,2015-02-01,1,0,569,78,103,1,0,0,0,1,0,0,1,1,0,1,0,NA,NA,0,78,25,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,22,12094.6363636364,62.1363636363636,0,0,0,0.285505563020706,0.598772644996643,17.6703300476074,0,1,1,NA,0,0,NA,NA,0
"1782",1,0,2015-06-02,0,1,569,78,103,0,0,0,0,1,0,0,1,1,0,1,0,NA,NA,0,78,25,25,0,25,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,22,12094.6363636364,62.1363636363636,0,1,0,0.285505563020706,0.598772644996643,17.6703300476074,1,0,0,NA,0,0,NA,NA,0
"1783",1,0,2015-02-01,1,0,569,78,103,1,1,0,1,0,1,1,0,1,0,1,0,NA,NA,0,78,25,0,25,0,25,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,22,12094.6363636364,62.1363636363636,1,0,0,0.285505563020706,0.598772644996643,17.6703300476074,0,0,0,0,NA,NA,0,0,NA
"1784",1,0,2015-06-03,0,1,569,78,103,0,1,0,1,0,1,1,0,1,0,1,0,NA,NA,0,78,25,25,25,0,25,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,22,12094.6363636364,62.1363636363636,1,1,1,0.285505563020706,0.598772644996643,17.6703300476074,1,0,0,0,NA,NA,0,0,NA
